position,blob_index,val,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z,dt,dx,dy,dz
depo022_x697mm,2,4034.265869140625,1711.0,692.8699999999994,3000.0,1000.0,1711.0,692.8699999999994,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo023_x597mm,0,9265.396484375,1769.0,600.0699999999997,3000.0,1000.0,1769.0,600.0699999999997,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo023_x597mm,1,19094.140625,1771.0,596.8699999999994,3000.0,1000.0,1771.0,596.8699999999994,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo023_x597mm,2,7004.60009765625,1773.0,593.6699999999996,3000.0,1000.0,1773.0,593.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo024_x497mm,0,4691.48876953125,1831.0,500.86999999999944,3000.0,1000.0,1831.0,500.86999999999944,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo024_x497mm,1,18436.43359375,1833.0,497.6699999999996,3000.0,1000.0,1833.0,497.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo024_x497mm,2,11656.8056640625,1835.0,494.4699999999998,3000.0,1000.0,1835.0,494.4699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo025_x397mm,0,3010.612060546875,1893.0,401.6699999999996,3000.0,1000.0,1893.0,401.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo025_x397mm,1,16455.541015625,1895.0,398.4699999999998,3000.0,1000.0,1895.0,398.4699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo025_x397mm,2,14710.2568359375,1897.0,395.2699999999995,3000.0,1000.0,1897.0,395.2699999999995,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo025_x397mm,3,1111.4761962890625,1899.0,392.0699999999997,3000.0,1000.0,1899.0,392.0699999999997,3004.891733999436,1000.6742350498043,0.0,0.0,4.891733999435928,0.6742350498043379
depo026_x297mm,0,13548.53515625,1957.0,299.2699999999995,3000.0,1000.0,1957.0,299.2699999999995,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo026_x297mm,1,16354.66796875,1959.0,296.0699999999997,3000.0,1000.0,1959.0,296.0699999999997,2998.4918986577704,999.8636047270405,0.0,0.0,-1.5081013422295655,-0.13639527295947573
depo026_x297mm,2,1699.60400390625,1961.0,292.86999999999944,3000.0,1000.0,1961.0,292.86999999999944,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo027_x197mm,0,9942.80078125,2019.0,200.0699999999997,3000.0,1000.0,2019.0,200.0699999999997,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo027_x197mm,1,18167.28125,2021.0,196.86999999999944,3000.0,1000.0,2021.0,196.86999999999944,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo027_x197mm,2,6774.447265625,2023.0,193.66999999999962,3000.0,1000.0,2023.0,193.66999999999962,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo028_x97mm,0,4435.28173828125,2081.0,100.86999999999944,3000.0,1000.0,2081.0,100.86999999999944,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo028_x97mm,1,17040.138671875,2083.0,97.66999999999962,3000.0,1000.0,2083.0,97.66999999999962,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo028_x97mm,2,10605.4814453125,2085.0,94.4699999999998,3000.0,1000.0,2085.0,94.4699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo029_x-3mm,0,3119.382080078125,2143.0,1.669999999999618,3000.0,1000.0,2143.0,1.669999999999618,2998.491900178759,998.9052863820217,0.0,0.0,-1.5080998212411032,-1.0947136179783001
depo029_x-3mm,1,16140.3935546875,2145.0,-1.5300000000002,3000.0,1000.0,2145.0,-1.5300000000002,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo029_x-3mm,2,14004.375,2147.0,-4.730000000000473,3000.0,1000.0,2147.0,-4.730000000000473,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo029_x-3mm,3,240.12081909179688,2149.0,-7.930000000000291,3000.0,1000.0,2149.0,-7.930000000000291,2996.8919421810033,996.8406387941135,0.0,0.0,-3.1080578189967127,-3.159361205886512
depo030_x-103mm,0,146.29371643066406,2205.0,-97.5300000000002,3000.0,1000.0,2205.0,-97.5300000000002,2996.891940746302,1000.6742362888945,0.0,0.0,-3.1080592536977747,0.6742362888944626
depo030_x-103mm,1,12672.98828125,2207.0,-100.73000000000047,3000.0,1000.0,2207.0,-100.73000000000047,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo030_x-103mm,2,15797.7158203125,2209.0,-103.93000000000029,3000.0,1000.0,2209.0,-103.93000000000029,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo030_x-103mm,3,3549.430908203125,2211.0,-107.13000000000056,3000.0,1000.0,2211.0,-107.13000000000056,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo031_x-203mm,0,10622.0361328125,2269.0,-199.9300000000003,3000.0,1000.0,2269.0,-199.9300000000003,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo031_x-203mm,1,16200.150390625,2271.0,-203.13000000000056,3000.0,1000.0,2271.0,-203.13000000000056,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo031_x-203mm,2,6329.67529296875,2273.0,-206.33000000000038,3000.0,1000.0,2273.0,-206.33000000000038,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo032_x-303mm,0,5796.64453125,2331.0,-299.13000000000056,3000.0,1000.0,2331.0,-299.13000000000056,3002.4917968053264,998.905286133764,0.0,0.0,2.4917968053264303,-1.0947138662360203
depo032_x-303mm,1,16821.365234375,2333.0,-302.3300000000004,3000.0,1000.0,2333.0,-302.3300000000004,3000.491847731548,999.3844454304023,0.0,0.0,0.49184773154820505,-0.615554569597748
depo032_x-303mm,2,9199.208984375,2335.0,-305.5300000000002,3000.0,1000.0,2335.0,-305.5300000000002,3002.4917968053264,998.905286133764,0.0,0.0,2.4917968053264303,-1.0947138662360203
depo033_x-403mm,0,2333.375732421875,2393.0,-398.3300000000004,3000.0,1000.0,2393.0,-398.3300000000004,2998.491900178759,998.9052863820217,0.0,0.0,-1.5080998212411032,-1.0947136179783001
depo033_x-403mm,1,15095.0986328125,2395.0,-401.5300000000002,3000.0,1000.0,2395.0,-401.5300000000002,3002.4917968053264,998.905286133764,0.0,0.0,2.4917968053264303,-1.0947138662360203
depo033_x-403mm,2,13222.744140625,2397.0,-404.7300000000005,3000.0,1000.0,2397.0,-404.7300000000005,3002.4917968053264,998.905286133764,0.0,0.0,2.4917968053264303,-1.0947138662360203
depo033_x-403mm,3,642.27490234375,2399.0,-407.9300000000003,3000.0,1000.0,2399.0,-407.9300000000003,2998.491900178759,998.9052863820217,0.0,0.0,-1.5080998212411032,-1.0947136179783001
