position,depo_index,blob_index,val,depo_x,depo_y,depo_z,blob_x,blob_y,blob_z,dx,dy,dz
depo026_x2101mm,26,0,9468.5126953125,2102.793464839522,3000.0,1000.7070922851562,2103.9067999999997,2998.4918986577704,999.8636047270405,1.113335160477618,-1.5081013422295655,-0.8434875581157257
depo026_x2101mm,26,1,42301.69140625,2100.709621698994,3000.0,1000.7070922851562,2100.7068,2998.4918986577704,999.8636047270405,-0.0028216989940119674,-1.5081013422295655,-0.8434875581157257
depo027_x2100mm,27,0,30391.876953125,2098.4922327238446,3000.0,1000.0,2097.5067999999997,2998.4918986577704,999.8636047270405,-0.9854327238449514,-1.5081013422295655,-0.13639527295947573
depo028_x2000mm,28,0,0.0,2003.4506579983613,3000.0,1000.0,2004.7067999999997,3002.4917966715934,1003.0582690577668,1.256142001638409,2.49179667159342,3.058269057766779
depo028_x2000mm,28,1,16193.00390625,2000.8334071334025,3000.0,1000.0,2001.5067999999997,3000.491847731548,999.3844454304021,0.6733928665971689,0.49184773154820505,-0.6155545695978617
depo028_x2000mm,28,2,19582.494140625,1999.0467224523074,3000.0,1000.0,1998.3067999999998,2998.4918986577704,999.8636047270405,-0.73992245230761,-1.5081013422295655,-0.13639527295947573
depo028_x2000mm,28,3,807.4010620117188,1996.377973708231,3000.0,1000.0,1995.1067999999998,2996.8919421810033,996.8406387941135,-1.2711737082311174,-3.1080578189967127,-3.159361205886512
depo028_x2000mm,28,4,763.2673950195312,1996.377973708231,3000.0,1000.0,1995.1067999999998,3005.77239488,1001.9276164080724,-1.2711737082311174,5.772394879999865,1.9276164080723674
depo029_x1900mm,29,0,10151.001953125,1901.42472512426,3000.0,1000.0,1902.3067999999998,2998.4918986577704,999.8636047270405,0.8820748757398178,-1.5081013422295655,-0.13639527295947573
depo029_x1900mm,29,1,21871.298828125,1899.5208740123703,3000.0,1000.0,1899.1067999999998,2998.4918986577704,999.8636047270405,-0.41407401237052,-1.5081013422295655,-0.13639527295947573
depo029_x1900mm,29,2,6110.087890625,1897.0855779729072,3000.0,1000.0,1895.9067999999997,2998.4918986577704,999.8636047270405,-1.1787779729074828,-1.5081013422295655,-0.13639527295947573
depo030_x1800mm,30,0,4946.7646484375,1802.0875681226519,3000.0,1000.0,1803.1067999999998,3000.491847731548,999.3844454304021,1.01923187734792,0.49184773154820505,-0.6155545695978617
depo030_x1800mm,30,1,20991.796875,1799.9517990864256,3000.0,1000.0,1799.9067999999997,3000.491847731548,999.3844454304021,-0.0449990864258325,0.49184773154820505,-0.6155545695978617
depo030_x1800mm,30,2,12392.912109375,1797.7580851001514,3000.0,1000.0,1796.7067999999997,3000.491847731548,999.3844454304021,-1.0512851001517447,0.49184773154820505,-0.6155545695978617
depo031_x1700mm,31,0,3356.0478515625,1702.7951986876426,3000.0,1000.0,1703.9068,2998.491900178759,998.9052863820217,1.1116013123573794,-1.5080998212411032,-1.0947136179783001
depo031_x1700mm,31,1,18578.236328125,1700.4060406484655,3000.0,1000.0,1700.7068,3000.491847731548,999.3844454304021,0.30075935153445243,0.49184773154820505,-0.6155545695978617
depo031_x1700mm,31,2,16372.1650390625,1698.3817898139823,3000.0,1000.0,1697.5067999999999,3000.491847731548,999.3844454304021,-0.8749898139824381,0.49184773154820505,-0.6155545695978617
depo032_x1600mm,32,0,15343.0048828125,1600.9290003658098,3000.0,1000.0,1601.5067999999999,3000.491847731548,999.3844454304021,0.5777996341901144,0.49184773154820505,-0.6155545695978617
depo032_x1600mm,32,1,19353.75,1598.946261026588,3000.0,1000.0,1598.3067999999998,3000.491847731548,999.3844454304021,-0.6394610265881511,0.49184773154820505,-0.6155545695978617
depo032_x1600mm,32,2,3702.976806640625,1596.3004973196112,3000.0,1000.0,1595.1068,3000.491847731548,999.3844454304021,-1.1936973196111467,0.49184773154820505,-0.6155545695978617
depo033_x1500mm,33,0,10906.9326171875,1501.5261835551196,3000.0,1000.0,1502.3067999999998,3000.491847731548,999.3844454304021,0.780616444880252,0.49184773154820505,-0.6155545695978617
depo033_x1500mm,33,1,20674.60546875,1499.4571895410904,3000.0,1000.0,1499.1068,2998.4918986577704,999.8636047270405,-0.3503895410904079,-1.5081013422295655,-0.13639527295947573
depo033_x1500mm,33,2,7605.677734375,1496.9994357895077,3000.0,1000.0,1495.9068,3000.491847731548,999.3844454304021,-1.0926357895077672,0.49184773154820505,-0.6155545695978617
depo034_x1400mm,34,0,6333.17236328125,1402.1823486617773,3000.0,1000.0,1403.1068,2998.4918986577704,999.8636047270405,0.9244513382227524,-1.5081013422295655,-0.13639527295947573
